household_id,month,household_size,region,income_group,ev_adoption_month,ev_cohort,post_adoption,months_since_adoption,avg_temperature_c,electricity_kwh
H070,2021-11-01,2,Busan,Low,,,0,,11.18,231.56
H071,2021-11-01,2,Busan,Low,2023-10-01,2023Q4,0,-23,11.18,240.72
H072,2021-11-01,4,Seoul,Middle,,,0,,11.18,284.54
H073,2021-11-01,3,Daegu,Middle,2022-07-01,2022Q3,0,-8,11.18,259.12
H074,2021-11-01,2,Daegu,Low,2022-08-01,2022Q3,0,-9,11.18,311.18
H075,2021-11-01,1,Daegu,Middle,,,0,,11.18,264.85
H076,2021-11-01,4,Daegu,High,,,0,,11.18,308.89
H077,2021-11-01,4,Daegu,Middle,2024-08-01,2024Q3,0,-33,11.18,318.05
H078,2021-11-01,3,Busan,Middle,,,0,,11.18,241.15
H079,2021-11-01,2,Busan,Middle,2024-03-01,2024Q1,0,-28,11.18,280.75
H080,2021-11-01,4,Seoul,Middle,2023-07-01,2023Q3,0,-20,11.18,334.12
H081,2021-11-01,1,Daegu,Middle,2024-07-01,2024Q3,0,-32,11.18,239.93
H082,2021-11-01,3,Busan,Low,2023-09-01,2023Q3,0,-22,11.18,199.94
H083,2021-11-01,4,Gyeonggi,Middle,2024-11-01,2024Q4,0,-36,11.18,352.64
H084,2021-11-01,4,Gyeonggi,High,,,0,,11.18,354.14
H085,2021-11-01,5,Seoul,High,2023-03-01,2023Q1,0,-16,11.18,308.39
H086,2021-11-01,4,Gyeonggi,Low,2022-08-01,2022Q3,0,-9,11.18,256.47
H087,2021-11-01,2,Daegu,Low,,,0,,11.18,242.72
H088,2021-11-01,3,Seoul,High,2024-02-01,2024Q1,0,-27,11.18,284.78
H089,2021-11-01,4,Seoul,High,2022-04-01,2022Q2,0,-5,11.18,360.78
H090,2021-11-01,1,Seoul,Middle,2024-05-01,2024Q2,0,-30,11.18,243.82
H091,2021-11-01,4,Gyeonggi,Middle,,,0,,11.18,375.21
H092,2021-11-01,2,Busan,Low,2023-10-01,2023Q4,0,-23,11.18,231.23
H093,2021-11-01,3,Daegu,Middle,,,0,,11.18,297.52
H094,2021-11-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-35,11.18,328.16
H095,2021-11-01,4,Seoul,Middle,,,0,,11.18,313.26
H096,2021-11-01,2,Daegu,High,2023-11-01,2023Q4,0,-24,11.18,317.15
H097,2021-11-01,4,Daegu,Middle,,,0,,11.18,238.32
H098,2021-11-01,2,Daegu,Middle,,,0,,11.18,247.78
H099,2021-11-01,3,Busan,High,,,0,,11.18,277.99
H100,2021-11-01,2,Daegu,Middle,,,0,,11.18,179.03
H101,2021-11-01,2,Daegu,High,,,0,,11.18,277.55
H102,2021-11-01,2,Busan,Middle,,,0,,11.18,292.71
H103,2021-11-01,2,Gyeonggi,Middle,,,0,,11.18,207.65
H104,2021-11-01,3,Daegu,Middle,2023-04-01,2023Q2,0,-17,11.18,286.82
H105,2021-11-01,3,Gyeonggi,Middle,,,0,,11.18,243.26
H106,2021-11-01,3,Busan,Middle,,,0,,11.18,249.45
H107,2021-11-01,2,Gyeonggi,Low,,,0,,11.18,258.24
H108,2021-11-01,4,Gyeonggi,Low,,,0,,11.18,285.16
H109,2021-11-01,2,Busan,High,2023-01-01,2023Q1,0,-14,11.18,300.8
H110,2021-11-01,4,Gyeonggi,Low,,,0,,11.18,241.41
H111,2021-11-01,3,Gyeonggi,Middle,2023-08-01,2023Q3,0,-21,11.18,293.38
H112,2021-11-01,3,Busan,Low,2023-02-01,2023Q1,0,-15,11.18,241.44
H113,2021-11-01,4,Daegu,Middle,2024-05-01,2024Q2,0,-30,11.18,313.55
H114,2021-11-01,1,Gyeonggi,Low,,,0,,11.18,222.16
H115,2021-11-01,3,Gyeonggi,High,2024-07-01,2024Q3,0,-32,11.18,218.3
H116,2021-11-01,2,Seoul,Middle,,,0,,11.18,229.18
H117,2021-11-01,5,Gyeonggi,Middle,2024-02-01,2024Q1,0,-27,11.18,316.61
H118,2021-11-01,2,Daegu,Middle,,,0,,11.18,248.43
H119,2021-11-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-6,11.18,234.03
H120,2021-11-01,4,Gyeonggi,Middle,,,0,,11.18,356.87
H001,2021-12-01,3,Seoul,Middle,2024-09-01,2024Q3,0,-33,7.94,260.2
H002,2021-12-01,1,Daegu,Low,2022-09-01,2022Q3,0,-9,7.94,192.44
H003,2021-12-01,3,Gyeonggi,Middle,,,0,,7.94,294.74
H004,2021-12-01,2,Seoul,High,2023-06-01,2023Q2,0,-18,7.94,252.05
H005,2021-12-01,2,Gyeonggi,High,2023-10-01,2023Q4,0,-22,7.94,278.09
H006,2021-12-01,2,Seoul,Middle,,,0,,7.94,257.5
H007,2021-12-01,5,Daegu,Low,,,0,,7.94,323.14
H008,2021-12-01,2,Gyeonggi,Middle,2022-05-01,2022Q2,0,-5,7.94,333.1
H009,2021-12-01,5,Gyeonggi,High,,,0,,7.94,313.0
H010,2021-12-01,2,Busan,Low,2024-11-01,2024Q4,0,-35,7.94,232.72
H011,2021-12-01,1,Gyeonggi,Middle,2024-12-01,2024Q4,0,-36,7.94,255.79
H012,2021-12-01,3,Busan,High,,,0,,7.94,363.7
H013,2021-12-01,2,Seoul,High,,,0,,7.94,271.04
H014,2021-12-01,3,Busan,Low,,,0,,7.94,248.03
H015,2021-12-01,4,Daegu,Low,,,0,,7.94,282.81
H016,2021-12-01,4,Daegu,High,2022-03-01,2022Q1,0,-3,7.94,369.82
H017,2021-12-01,3,Seoul,High,2024-07-01,2024Q3,0,-31,7.94,288.75
H018,2021-12-01,3,Daegu,Middle,,,0,,7.94,332.1
H019,2021-12-01,3,Seoul,Middle,,,0,,7.94,383.19
H020,2021-12-01,4,Busan,Low,,,0,,7.94,337.17
H021,2021-12-01,3,Busan,High,2024-05-01,2024Q2,0,-29,7.94,315.21
H022,2021-12-01,4,Gyeonggi,Low,,,0,,7.94,284.65
H023,2021-12-01,3,Seoul,Middle,2023-04-01,2023Q2,0,-16,7.94,309.31
H024,2021-12-01,1,Seoul,Low,,,0,,7.94,227.29
H025,2021-12-01,1,Gyeonggi,Low,2024-07-01,2024Q3,0,-31,7.94,203.65
H026,2021-12-01,5,Gyeonggi,Middle,2024-11-01,2024Q4,0,-35,7.94,388.54
H027,2021-12-01,2,Daegu,Low,,,0,,7.94,269.79
H028,2021-12-01,2,Gyeonggi,Low,,,0,,7.94,328.47
H029,2021-12-01,1,Seoul,High,2024-08-01,2024Q3,0,-32,7.94,220.67
H030,2021-12-01,2,Gyeonggi,Middle,,,0,,7.94,247.75
H031,2021-12-01,3,Gyeonggi,High,2023-06-01,2023Q2,0,-18,7.94,296.95
H032,2021-12-01,3,Daegu,High,2024-11-01,2024Q4,0,-35,7.94,314.42
H033,2021-12-01,1,Daegu,Middle,2024-08-01,2024Q3,0,-32,7.94,225.06
H034,2021-12-01,1,Gyeonggi,Low,2022-08-01,2022Q3,0,-8,7.94,234.0
H035,2021-12-01,4,Seoul,Low,,,0,,7.94,324.37
H036,2021-12-01,5,Gyeonggi,Low,,,0,,7.94,339.14
H037,2021-12-01,2,Daegu,High,2023-05-01,2023Q2,0,-17,7.94,335.46
H038,2021-12-01,3,Daegu,Low,2022-10-01,2022Q4,0,-10,7.94,320.16
H039,2021-12-01,4,Seoul,Middle,,,0,,7.94,302.79
H040,2021-12-01,4,Gyeonggi,Low,,,0,,7.94,332.59
H041,2021-12-01,4,Seoul,Middle,2024-04-01,2024Q2,0,-28,7.94,333.13
H042,2021-12-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-34,7.94,266.39
H043,2021-12-01,3,Busan,Low,2024-11-01,2024Q4,0,-35,7.94,243.71
H044,2021-12-01,2,Busan,High,,,0,,7.94,273.6
H045,2021-12-01,1,Seoul,Low,,,0,,7.94,232.98
H046,2021-12-01,4,Gyeonggi,Middle,2024-12-01,2024Q4,0,-36,7.94,353.67
H047,2021-12-01,2,Seoul,Middle,2022-05-01,2022Q2,0,-5,7.94,212.79
H048,2021-12-01,1,Seoul,Middle,2023-10-01,2023Q4,0,-22,7.94,275.39
H049,2021-12-01,2,Busan,Low,,,0,,7.94,212.21
H050,2021-12-01,4,Seoul,Low,,,0,,7.94,285.82
H051,2021-12-01,2,Seoul,Middle,2023-09-01,2023Q3,0,-21,7.94,318.79
H052,2021-12-01,4,Seoul,Low,,,0,,7.94,373.17
H053,2021-12-01,3,Gyeonggi,Middle,2022-01-01,2022Q1,0,-1,7.94,277.24
H054,2021-12-01,2,Seoul,High,2022-11-01,2022Q4,0,-11,7.94,288.66
H055,2021-12-01,1,Daegu,High,2022-03-01,2022Q1,0,-3,7.94,216.43
H056,2021-12-01,4,Seoul,Low,,,0,,7.94,260.58
H057,2021-12-01,4,Daegu,High,2024-02-01,2024Q1,0,-26,7.94,354.59
H058,2021-12-01,2,Seoul,High,2023-06-01,2023Q2,0,-18,7.94,235.34
H059,2021-12-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-5,7.94,272.91
H060,2021-12-01,2,Daegu,Middle,,,0,,7.94,186.53
H061,2021-12-01,2,Seoul,Low,,,0,,7.94,250.62
H062,2021-12-01,2,Seoul,Middle,2023-07-01,2023Q3,0,-19,7.94,240.38
H063,2021-12-01,3,Seoul,Middle,,,0,,7.94,298.64
H064,2021-12-01,1,Gyeonggi,Middle,2024-06-01,2024Q2,0,-30,7.94,269.0
H065,2021-12-01,3,Seoul,Middle,2023-12-01,2023Q4,0,-24,7.94,305.32
H066,2021-12-01,2,Gyeonggi,Low,,,0,,7.94,309.07
H067,2021-12-01,2,Gyeonggi,Middle,2023-04-01,2023Q2,0,-16,7.94,205.48
H068,2021-12-01,3,Busan,Middle,,,0,,7.94,313.83
H069,2021-12-01,2,Daegu,High,,,0,,7.94,281.17
H070,2021-12-01,2,Busan,Low,,,0,,7.94,227.63
H071,2021-12-01,2,Busan,Low,2023-10-01,2023Q4,0,-22,7.94,253.0
H072,2021-12-01,4,Seoul,Middle,,,0,,7.94,327.51
H073,2021-12-01,3,Daegu,Middle,2022-07-01,2022Q3,0,-7,7.94,323.83
H074,2021-12-01,2,Daegu,Low,2022-08-01,2022Q3,0,-8,7.94,236.23
H075,2021-12-01,1,Daegu,Middle,,,0,,7.94,243.05
H076,2021-12-01,4,Daegu,High,,,0,,7.94,297.81
H077,2021-12-01,4,Daegu,Middle,2024-08-01,2024Q3,0,-32,7.94,278.73
H078,2021-12-01,3,Busan,Middle,,,0,,7.94,265.63
H079,2021-12-01,2,Busan,Middle,2024-03-01,2024Q1,0,-27,7.94,248.35
H080,2021-12-01,4,Seoul,Middle,2023-07-01,2023Q3,0,-19,7.94,354.96
H081,2021-12-01,1,Daegu,Middle,2024-07-01,2024Q3,0,-31,7.94,268.63
H082,2021-12-01,3,Busan,Low,2023-09-01,2023Q3,0,-21,7.94,222.48
H083,2021-12-01,4,Gyeonggi,Middle,2024-11-01,2024Q4,0,-35,7.94,296.68
H084,2021-12-01,4,Gyeonggi,High,,,0,,7.94,390.5
H085,2021-12-01,5,Seoul,High,2023-03-01,2023Q1,0,-15,7.94,322.81
H086,2021-12-01,4,Gyeonggi,Low,2022-08-01,2022Q3,0,-8,7.94,267.1
H087,2021-12-01,2,Daegu,Low,,,0,,7.94,245.93
H088,2021-12-01,3,Seoul,High,2024-02-01,2024Q1,0,-26,7.94,306.57
H089,2021-12-01,4,Seoul,High,2022-04-01,2022Q2,0,-4,7.94,382.91
H090,2021-12-01,1,Seoul,Middle,2024-05-01,2024Q2,0,-29,7.94,233.29
H091,2021-12-01,4,Gyeonggi,Middle,,,0,,7.94,387.1
H092,2021-12-01,2,Busan,Low,2023-10-01,2023Q4,0,-22,7.94,239.88
H093,2021-12-01,3,Daegu,Middle,,,0,,7.94,277.45
H094,2021-12-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-34,7.94,349.37
H095,2021-12-01,4,Seoul,Middle,,,0,,7.94,345.24
H096,2021-12-01,2,Daegu,High,2023-11-01,2023Q4,0,-23,7.94,293.53
H097,2021-12-01,4,Daegu,Middle,,,0,,7.94,264.73
H098,2021-12-01,2,Daegu,Middle,,,0,,7.94,237.09
H099,2021-12-01,3,Busan,High,,,0,,7.94,315.78
H100,2021-12-01,2,Daegu,Middle,,,0,,7.94,247.27
H101,2021-12-01,2,Daegu,High,,,0,,7.94,297.11
H102,2021-12-01,2,Busan,Middle,,,0,,7.94,277.17
H103,2021-12-01,2,Gyeonggi,Middle,,,0,,7.94,241.09
H104,2021-12-01,3,Daegu,Middle,2023-04-01,2023Q2,0,-16,7.94,319.67
H105,2021-12-01,3,Gyeonggi,Middle,,,0,,7.94,281.42
H106,2021-12-01,3,Busan,Middle,,,0,,7.94,254.02
H107,2021-12-01,2,Gyeonggi,Low,,,0,,7.94,243.02
H108,2021-12-01,4,Gyeonggi,Low,,,0,,7.94,337.98
H109,2021-12-01,2,Busan,High,2023-01-01,2023Q1,0,-13,7.94,257.02
H110,2021-12-01,4,Gyeonggi,Low,,,0,,7.94,314.82
H111,2021-12-01,3,Gyeonggi,Middle,2023-08-01,2023Q3,0,-20,7.94,312.91
H112,2021-12-01,3,Busan,Low,2023-02-01,2023Q1,0,-14,7.94,262.31
H113,2021-12-01,4,Daegu,Middle,2024-05-01,2024Q2,0,-29,7.94,269.18
H114,2021-12-01,1,Gyeonggi,Low,,,0,,7.94,171.37
H115,2021-12-01,3,Gyeonggi,High,2024-07-01,2024Q3,0,-31,7.94,251.47
H116,2021-12-01,2,Seoul,Middle,,,0,,7.94,258.42
H117,2021-12-01,5,Gyeonggi,Middle,2024-02-01,2024Q1,0,-26,7.94,351.4
H118,2021-12-01,2,Daegu,Middle,,,0,,7.94,259.99
H119,2021-12-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-5,7.94,226.6
H120,2021-12-01,4,Gyeonggi,Middle,,,0,,7.94,387.21
H001,2022-01-01,3,Seoul,Middle,2024-09-01,2024Q3,0,-32,2.79,294.93
H002,2022-01-01,1,Daegu,Low,2022-09-01,2022Q3,0,-8,2.79,249.85
H003,2022-01-01,3,Gyeonggi,Middle,,,0,,2.79,314.37
H004,2022-01-01,2,Seoul,High,2023-06-01,2023Q2,0,-17,2.79,223.05
H005,2022-01-01,2,Gyeonggi,High,2023-10-01,2023Q4,0,-21,2.79,298.34
H006,2022-01-01,2,Seoul,Middle,,,0,,2.79,230.29
H007,2022-01-01,5,Daegu,Low,,,0,,2.79,309.04
H008,2022-01-01,2,Gyeonggi,Middle,2022-05-01,2022Q2,0,-4,2.79,322.52
H009,2022-01-01,5,Gyeonggi,High,,,0,,2.79,369.35
H010,2022-01-01,2,Busan,Low,2024-11-01,2024Q4,0,-34,2.79,278.89
H011,2022-01-01,1,Gyeonggi,Middle,2024-12-01,2024Q4,0,-35,2.79,245.57
H012,2022-01-01,3,Busan,High,,,0,,2.79,360.8
H013,2022-01-01,2,Seoul,High,,,0,,2.79,239.8
H014,2022-01-01,3,Busan,Low,,,0,,2.79,271.81
H015,2022-01-01,4,Daegu,Low,,,0,,2.79,332.78
H016,2022-01-01,4,Daegu,High,2022-03-01,2022Q1,0,-2,2.79,413.22
H017,2022-01-01,3,Seoul,High,2024-07-01,2024Q3,0,-30,2.79,344.18
H018,2022-01-01,3,Daegu,Middle,,,0,,2.79,305.62
H019,2022-01-01,3,Seoul,Middle,,,0,,2.79,309.52
H020,2022-01-01,4,Busan,Low,,,0,,2.79,386.54
H021,2022-01-01,3,Busan,High,2024-05-01,2024Q2,0,-28,2.79,315.69
H022,2022-01-01,4,Gyeonggi,Low,,,0,,2.79,264.14
H023,2022-01-01,3,Seoul,Middle,2023-04-01,2023Q2,0,-15,2.79,339.0
H024,2022-01-01,1,Seoul,Low,,,0,,2.79,193.92
H025,2022-01-01,1,Gyeonggi,Low,2024-07-01,2024Q3,0,-30,2.79,182.09
H026,2022-01-01,5,Gyeonggi,Middle,2024-11-01,2024Q4,0,-34,2.79,351.08
H027,2022-01-01,2,Daegu,Low,,,0,,2.79,232.03
H028,2022-01-01,2,Gyeonggi,Low,,,0,,2.79,290.79
H029,2022-01-01,1,Seoul,High,2024-08-01,2024Q3,0,-31,2.79,267.4
H030,2022-01-01,2,Gyeonggi,Middle,,,0,,2.79,264.61
H031,2022-01-01,3,Gyeonggi,High,2023-06-01,2023Q2,0,-17,2.79,364.91
H032,2022-01-01,3,Daegu,High,2024-11-01,2024Q4,0,-34,2.79,255.81
H033,2022-01-01,1,Daegu,Middle,2024-08-01,2024Q3,0,-31,2.79,270.5
H034,2022-01-01,1,Gyeonggi,Low,2022-08-01,2022Q3,0,-7,2.79,200.56
H035,2022-01-01,4,Seoul,Low,,,0,,2.79,388.33
H036,2022-01-01,5,Gyeonggi,Low,,,0,,2.79,387.94
H037,2022-01-01,2,Daegu,High,2023-05-01,2023Q2,0,-16,2.79,336.38
H038,2022-01-01,3,Daegu,Low,2022-10-01,2022Q4,0,-9,2.79,277.07
H039,2022-01-01,4,Seoul,Middle,,,0,,2.79,320.77
H040,2022-01-01,4,Gyeonggi,Low,,,0,,2.79,332.51
H041,2022-01-01,4,Seoul,Middle,2024-04-01,2024Q2,0,-27,2.79,312.82
H042,2022-01-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-33,2.79,236.73
H043,2022-01-01,3,Busan,Low,2024-11-01,2024Q4,0,-34,2.79,288.63
H044,2022-01-01,2,Busan,High,,,0,,2.79,236.37
H045,2022-01-01,1,Seoul,Low,,,0,,2.79,265.97
H046,2022-01-01,4,Gyeonggi,Middle,2024-12-01,2024Q4,0,-35,2.79,364.37
H047,2022-01-01,2,Seoul,Middle,2022-05-01,2022Q2,0,-4,2.79,210.64
H048,2022-01-01,1,Seoul,Middle,2023-10-01,2023Q4,0,-21,2.79,221.12
H049,2022-01-01,2,Busan,Low,,,0,,2.79,229.13
H050,2022-01-01,4,Seoul,Low,,,0,,2.79,287.56
H051,2022-01-01,2,Seoul,Middle,2023-09-01,2023Q3,0,-20,2.79,381.6
H052,2022-01-01,4,Seoul,Low,,,0,,2.79,333.95
H053,2022-01-01,3,Gyeonggi,Middle,2022-01-01,2022Q1,1,0,2.79,384.47
H054,2022-01-01,2,Seoul,High,2022-11-01,2022Q4,0,-10,2.79,282.13
H055,2022-01-01,1,Daegu,High,2022-03-01,2022Q1,0,-2,2.79,243.01
H056,2022-01-01,4,Seoul,Low,,,0,,2.79,246.14
H057,2022-01-01,4,Daegu,High,2024-02-01,2024Q1,0,-25,2.79,330.87
H058,2022-01-01,2,Seoul,High,2023-06-01,2023Q2,0,-17,2.79,281.74
H059,2022-01-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-4,2.79,263.61
H060,2022-01-01,2,Daegu,Middle,,,0,,2.79,254.95
H061,2022-01-01,2,Seoul,Low,,,0,,2.79,232.75
H062,2022-01-01,2,Seoul,Middle,2023-07-01,2023Q3,0,-18,2.79,274.93
H063,2022-01-01,3,Seoul,Middle,,,0,,2.79,285.29
H064,2022-01-01,1,Gyeonggi,Middle,2024-06-01,2024Q2,0,-29,2.79,224.48
H065,2022-01-01,3,Seoul,Middle,2023-12-01,2023Q4,0,-23,2.79,254.47
H066,2022-01-01,2,Gyeonggi,Low,,,0,,2.79,275.03
H067,2022-01-01,2,Gyeonggi,Middle,2023-04-01,2023Q2,0,-15,2.79,238.78
H068,2022-01-01,3,Busan,Middle,,,0,,2.79,312.63
H069,2022-01-01,2,Daegu,High,,,0,,2.79,316.69
H070,2022-01-01,2,Busan,Low,,,0,,2.79,229.32
H071,2022-01-01,2,Busan,Low,2023-10-01,2023Q4,0,-21,2.79,269.11
H072,2022-01-01,4,Seoul,Middle,,,0,,2.79,324.46
H073,2022-01-01,3,Daegu,Middle,2022-07-01,2022Q3,0,-6,2.79,304.31
H074,2022-01-01,2,Daegu,Low,2022-08-01,2022Q3,0,-7,2.79,294.56
H075,2022-01-01,1,Daegu,Middle,,,0,,2.79,288.11
H076,2022-01-01,4,Daegu,High,,,0,,2.79,311.01
H077,2022-01-01,4,Daegu,Middle,2024-08-01,2024Q3,0,-31,2.79,310.58
H078,2022-01-01,3,Busan,Middle,,,0,,2.79,264.42
H079,2022-01-01,2,Busan,Middle,2024-03-01,2024Q1,0,-26,2.79,248.46
H080,2022-01-01,4,Seoul,Middle,2023-07-01,2023Q3,0,-18,2.79,345.42
H081,2022-01-01,1,Daegu,Middle,2024-07-01,2024Q3,0,-30,2.79,258.88
H082,2022-01-01,3,Busan,Low,2023-09-01,2023Q3,0,-20,2.79,210.97
H083,2022-01-01,4,Gyeonggi,Middle,2024-11-01,2024Q4,0,-34,2.79,341.89
H084,2022-01-01,4,Gyeonggi,High,,,0,,2.79,361.33
H085,2022-01-01,5,Seoul,High,2023-03-01,2023Q1,0,-14,2.79,363.17
H086,2022-01-01,4,Gyeonggi,Low,2022-08-01,2022Q3,0,-7,2.79,341.18
H087,2022-01-01,2,Daegu,Low,,,0,,2.79,300.54
H088,2022-01-01,3,Seoul,High,2024-02-01,2024Q1,0,-25,2.79,359.4
H089,2022-01-01,4,Seoul,High,2022-04-01,2022Q2,0,-3,2.79,316.1
H090,2022-01-01,1,Seoul,Middle,2024-05-01,2024Q2,0,-28,2.79,219.67
H091,2022-01-01,4,Gyeonggi,Middle,,,0,,2.79,352.12
H092,2022-01-01,2,Busan,Low,2023-10-01,2023Q4,0,-21,2.79,228.88
H093,2022-01-01,3,Daegu,Middle,,,0,,2.79,297.43
H094,2022-01-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-33,2.79,276.03
H095,2022-01-01,4,Seoul,Middle,,,0,,2.79,328.89
H096,2022-01-01,2,Daegu,High,2023-11-01,2023Q4,0,-22,2.79,313.24
H097,2022-01-01,4,Daegu,Middle,,,0,,2.79,295.43
H098,2022-01-01,2,Daegu,Middle,,,0,,2.79,252.22
H099,2022-01-01,3,Busan,High,,,0,,2.79,320.09
H100,2022-01-01,2,Daegu,Middle,,,0,,2.79,270.4
H101,2022-01-01,2,Daegu,High,,,0,,2.79,295.2
H102,2022-01-01,2,Busan,Middle,,,0,,2.79,270.94
H103,2022-01-01,2,Gyeonggi,Middle,,,0,,2.79,265.03
H104,2022-01-01,3,Daegu,Middle,2023-04-01,2023Q2,0,-15,2.79,279.9
H105,2022-01-01,3,Gyeonggi,Middle,,,0,,2.79,265.89
H106,2022-01-01,3,Busan,Middle,,,0,,2.79,288.2
H107,2022-01-01,2,Gyeonggi,Low,,,0,,2.79,275.06
H108,2022-01-01,4,Gyeonggi,Low,,,0,,2.79,345.25
H109,2022-01-01,2,Busan,High,2023-01-01,2023Q1,0,-12,2.79,276.73
H110,2022-01-01,4,Gyeonggi,Low,,,0,,2.79,266.84
H111,2022-01-01,3,Gyeonggi,Middle,2023-08-01,2023Q3,0,-19,2.79,266.88
H112,2022-01-01,3,Busan,Low,2023-02-01,2023Q1,0,-13,2.79,253.78
H113,2022-01-01,4,Daegu,Middle,2024-05-01,2024Q2,0,-28,2.79,307.76
H114,2022-01-01,1,Gyeonggi,Low,,,0,,2.79,233.82
H115,2022-01-01,3,Gyeonggi,High,2024-07-01,2024Q3,0,-30,2.79,235.67
H116,2022-01-01,2,Seoul,Middle,,,0,,2.79,311.07
H117,2022-01-01,5,Gyeonggi,Middle,2024-02-01,2024Q1,0,-25,2.79,349.47
H118,2022-01-01,2,Daegu,Middle,,,0,,2.79,246.4
H119,2022-01-01,2,Gyeonggi,Low,2022-05-01,2022Q2,0,-4,2.79,302.08
H120,2022-01-01,4,Gyeonggi,Middle,,,0,,2.79,373.41
H001,2022-02-01,3,Seoul,Middle,2024-09-01,2024Q3,0,-31,2.16,344.66
H002,2022-02-01,1,Daegu,Low,2022-09-01,2022Q3,0,-7,2.16,211.76
H003,2022-02-01,3,Gyeonggi,Middle,,,0,,2.16,269.22
H004,2022-02-01,2,Seoul,High,2023-06-01,2023Q2,0,-16,2.16,286.51
H005,2022-02-01,2,Gyeonggi,High,2023-10-01,2023Q4,0,-20,2.16,239.24
H006,2022-02-01,2,Seoul,Middle,,,0,,2.16,264.73
H007,2022-02-01,5,Daegu,Low,,,0,,2.16,318.46
H008,2022-02-01,2,Gyeonggi,Middle,2022-05-01,2022Q2,0,-3,2.16,310.77
H009,2022-02-01,5,Gyeonggi,High,,,0,,2.16,351.74
H010,2022-02-01,2,Busan,Low,2024-11-01,2024Q4,0,-33,2.16,230.27
H011,2022-02-01,1,Gyeonggi,Middle,2024-12-01,2024Q4,0,-34,2.16,253.78
H012,2022-02-01,3,Busan,High,,,0,,2.16,336.43
H013,2022-02-01,2,Seoul,High,,,0,,2.16,240.8
H014,2022-02-01,3,Busan,Low,,,0,,2.16,251.88
H015,2022-02-01,4,Daegu,Low,,,0,,2.16,308.28
H016,2022-02-01,4,Daegu,High,2022-03-01,2022Q1,0,-1,2.16,326.04
H017,2022-02-01,3,Seoul,High,2024-07-01,2024Q3,0,-29,2.16,334.35
H018,2022-02-01,3,Daegu,Middle,,,0,,2.16,262.17
H019,2022-02-01,3,Seoul,Middle,,,0,,2.16,310.38
H020,2022-02-01,4,Busan,Low,,,0,,2.16,296.89
H021,2022-02-01,3,Busan,High,2024-05-01,2024Q2,0,-27,2.16,284.15
H022,2022-02-01,4,Gyeonggi,Low,,,0,,2.16,313.17
H023,2022-02-01,3,Seoul,Middle,2023-04-01,2023Q2,0,-14,2.16,289.92
H024,2022-02-01,1,Seoul,Low,,,0,,2.16,178.6
H025,2022-02-01,1,Gyeonggi,Low,2024-07-01,2024Q3,0,-29,2.16,168.44
H026,2022-02-01,5,Gyeonggi,Middle,2024-11-01,2024Q4,0,-33,2.16,361.2
H027,2022-02-01,2,Daegu,Low,,,0,,2.16,232.86
H028,2022-02-01,2,Gyeonggi,Low,,,0,,2.16,254.11
H029,2022-02-01,1,Seoul,High,2024-08-01,2024Q3,0,-30,2.16,229.36
H030,2022-02-01,2,Gyeonggi,Middle,,,0,,2.16,219.19
H031,2022-02-01,3,Gyeonggi,High,2023-06-01,2023Q2,0,-16,2.16,310.99
H032,2022-02-01,3,Daegu,High,2024-11-01,2024Q4,0,-33,2.16,275.15
H033,2022-02-01,1,Daegu,Middle,2024-08-01,2024Q3,0,-30,2.16,254.33
H034,2022-02-01,1,Gyeonggi,Low,2022-08-01,2022Q3,0,-6,2.16,208.0
H035,2022-02-01,4,Seoul,Low,,,0,,2.16,319.32
H036,2022-02-01,5,Gyeonggi,Low,,,0,,2.16,348.11
H037,2022-02-01,2,Daegu,High,2023-05-01,2023Q2,0,-15,2.16,302.7
H038,2022-02-01,3,Daegu,Low,2022-10-01,2022Q4,0,-8,2.16,253.24
H039,2022-02-01,4,Seoul,Middle,,,0,,2.16,297.07
H040,2022-02-01,4,Gyeonggi,Low,,,0,,2.16,302.4
H041,2022-02-01,4,Seoul,Middle,2024-04-01,2024Q2,0,-26,2.16,270.96
H042,2022-02-01,3,Seoul,Middle,2024-10-01,2024Q4,0,-32,2.16,307.68
H043,2022-02-01,3,Busan,Low,2024-11-01,2024Q4,0,-33,2.16,226.92
H044,2022-02-01,2,Busan,High,,,0,,2.16,239.9
H045,2022-02-01,1,Seoul,Low,,,0,,2.16,255.98
H046,2022-02-01,4,Gyeonggi,Middle,2024-12-01,2024Q4,0,-34,2.16,351.37
H047,2022-02-01,2,Seoul,Middle,2022-05-01,2022Q2,0,-3,2.16,194.32
H048,2022-02-01,1,Seoul,Middle,2023-10-01,2023Q4,0,-20,2.16,190.71
H049,2022-02-01,2,Busan,Low,,,0,,2.16,219.84
H050,2022-02-01,4,Seoul,Low,,,0,,2.16,282.02
H051,2022-02-01,2,Seoul,Middle,2023-09-01,2023Q3,0,-19,2.16,332.4
H052,2022-02-01,4,Seoul,Low,,,0,,2.16,341.96
