"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 02- 14","355.84","360.62","362.00","347.50","68.28M","-0.03%"
"2025- 02- 13","355.94","345.00","358.69","342.85","89.44M","5.77%"
"2025- 02- 12","336.51","329.94","346.40","329.12","105.38M","2.44%"
"2025- 02- 11","328.50","345.80","349.37","325.10","118.54M","-6.34%"
"2025- 02- 10","350.73","356.21","362.70","350.51","77.51M","-3.01%"
"2025- 02- 07","361.62","370.19","380.55","360.34","70.30M","-3.39%"
"2025- 02- 06","374.32","373.03","375.40","363.18","77.92M","-1.02%"
"2025- 02- 05","378.17","387.51","388.39","375.53","57.61M","-3.58%"
"2025- 02- 04","392.21","382.63","394.00","381.40","57.07M","2.22%"
"2025- 02- 03","383.68","386.68","389.17","374.36","93.73M","-5.17%"
"2025- 01- 31","404.60","401.53","419.99","401.34","83.57M","1.08%"
"2025- 01- 30","400.28","410.78","412.50","384.41","98.09M","2.87%"
"2025- 01- 29","389.10","395.21","398.59","384.48","68.03M","-2.26%"
"2025- 01- 28","398.09","396.91","400.59","386.50","48.91M","0.24%"
"2025- 01- 27","397.15","394.80","406.69","389.00","58.13M","-2.32%"
"2025- 01- 24","406.58","414.45","418.88","405.78","56.43M","-1.41%"
"2025- 01- 23","412.38","416.06","420.73","408.95","50.69M","-0.66%"
"2025- 01- 22","415.11","416.81","428.00","414.59","60.96M","-2.11%"
"2025- 01- 21","424.07","432.64","433.20","406.31","87.32M","-0.57%"
"2025- 01- 17","426.50","421.50","439.74","419.75","94.99M","3.06%"
"2025- 01- 16","413.82","423.49","424.00","409.13","68.34M","-3.36%"
"2025- 01- 15","428.22","409.90","429.80","405.66","81.38M","8.04%"
"2025- 01- 14","396.36","414.34","422.64","394.54","84.57M","-1.72%"
"2025- 01- 13","403.31","383.21","403.79","380.07","67.58M","2.17%"
"2025- 01- 10","394.74","391.40","399.28","377.29","62.29M","-0.05%"
"2025- 01- 08","394.94","392.95","402.50","387.40","73.04M","0.15%"
"2025- 01- 07","394.36","405.83","414.33","390.00","75.70M","-4.06%"
"2025- 01- 06","411.05","423.20","426.43","401.70","85.52M","0.15%"
"2025- 01- 03","410.44","381.48","411.88","379.45","95.42M","8.22%"
"2025- 01- 02","379.28","390.10","392.73","373.04","109.71M","-6.08%"
"2024- 12- 31","403.84","423.79","427.93","402.54","76.83M","-3.25%"
"2024- 12- 30","417.41","419.40","427.00","415.75","64.94M","-3.30%"
"2024- 12- 27","431.66","449.52","450.00","426.50","82.67M","-4.95%"
"2024- 12- 26","454.13","465.16","465.33","451.02","76.65M","-1.76%"
"2024- 12- 24","462.28","435.90","462.78","435.14","59.55M","7.36%"
"2024- 12- 23","430.60","431.00","434.51","415.41","72.70M","2.27%"
"2024- 12- 20","421.06","425.51","447.08","417.64","132.22M","-3.46%"
"2024- 12- 19","436.17","451.88","456.36","420.02","118.57M","-0.90%"
"2024- 12- 18","440.13","466.49","488.54","427.01","149.34M","-8.28%"
"2024- 12- 17","479.86","475.90","483.99","457.51","131.22M","3.64%"
"2024- 12- 16","463.02","441.09","463.19","436.15","114.08M","6.14%"
"2024- 12- 13","436.23","420.00","436.30","415.71","89.00M","4.34%"
"2024- 12- 12","418.10","424.84","429.30","415.00","87.75M","-1.57%"
"2024- 12- 11","424.77","409.70","424.88","402.38","104.29M","5.93%"
"2024- 12- 10","400.99","392.68","409.73","390.85","97.56M","2.87%"
"2024- 12- 09","389.79","397.61","404.80","378.01","96.36M","0.15%"
"2024- 12- 06","389.22","377.42","389.49","370.80","81.46M","5.34%"
"2024- 12- 05","369.49","359.87","375.43","359.50","81.40M","3.23%"
"2024- 12- 04","357.93","353.00","358.10","348.60","50.81M","1.85%"
"2024- 12- 03","351.42","351.80","355.69","348.20","58.27M","-1.59%"
"2024- 12- 02","357.09","352.38","360.00","351.15","77.99M","3.46%"
"2024- 11- 29","345.16","336.08","345.45","334.65","37.17M","3.69%"
"2024- 11- 27","332.89","341.80","342.55","326.59","57.90M","-1.58%"
"2024- 11- 26","338.23","341.00","346.96","335.66","62.30M","-0.11%"
"2024- 11- 25","338.59","360.14","361.93","338.20","95.89M","-3.96%"
"2024- 11- 22","352.56","341.08","361.53","337.70","89.14M","3.80%"
"2024- 11- 21","339.64","343.81","347.99","335.28","58.01M","-0.70%"
"2024- 11- 20","342.03","345.00","346.60","334.30","66.34M","-1.15%"
"2024- 11- 19","346.00","335.76","347.38","332.75","88.85M","2.14%"
"2024- 11- 18","338.74","340.73","348.55","330.01","126.55M","5.62%"
"2024- 11- 15","320.72","310.57","324.68","309.22","114.44M","3.07%"
"2024- 11- 14","311.18","327.69","329.98","310.37","120.73M","-5.77%"
"2024- 11- 13","330.24","335.85","344.60","322.50","125.41M","0.53%"
"2024- 11- 12","328.49","342.74","345.84","323.31","155.73M","-6.15%"
"2024- 11- 11","350.00","346.30","358.64","336.00","210.52M","8.96%"
"2024- 11- 08","321.22","299.14","328.71","297.66","204.78M","8.19%"
"2024- 11- 07","296.91","288.89","299.75","285.52","117.31M","2.90%"
"2024- 11- 06","288.53","284.67","289.59","275.62","165.23M","14.75%"
"2024- 11- 05","251.44","247.34","255.28","246.21","69.28M","3.54%"
"2024- 11- 04","242.84","244.56","248.90","238.88","68.80M","-2.47%"
"2024- 11- 01","248.98","252.04","254.00","246.63","57.55M","-0.35%"
"2024- 10- 31","249.85","257.99","259.75","249.25","66.58M","-2.99%"
"2024- 10- 30","257.55","258.04","263.35","255.82","53.99M","-0.76%"
"2024- 10- 29","259.52","264.51","264.98","255.51","80.52M","-1.14%"
"2024- 10- 28","262.51","270.00","273.54","262.24","107.65M","-2.48%"
"2024- 10- 25","269.19","256.01","269.49","255.32","161.61M","3.34%"
"2024- 10- 24","260.48","244.68","262.12","242.65","204.49M","21.92%"
"2024- 10- 23","213.65","217.13","218.72","212.11","80.94M","-1.98%"
"2024- 10- 22","217.97","217.31","218.22","215.26","43.27M","-0.40%"
"2024- 10- 21","218.85","218.90","220.48","215.73","47.33M","-0.84%"
"2024- 10- 18","220.70","220.71","222.28","219.23","49.61M","-0.09%"
"2024- 10- 17","220.89","221.59","222.08","217.90","50.79M","-0.20%"
"2024- 10- 16","221.33","221.40","222.82","218.93","49.63M","0.80%"
"2024- 10- 15","219.57","220.01","224.26","217.12","62.99M","0.19%"
"2024- 10- 14","219.16","220.13","221.91","213.74","86.29M","0.62%"
"2024- 10- 11","217.80","220.13","223.34","214.38","142.63M","-8.78%"
"2024- 10- 10","238.77","241.81","242.79","232.34","83.09M","-0.95%"
"2024- 10- 09","241.05","243.82","247.43","239.51","66.29M","-1.41%"
"2024- 10- 08","244.50","243.56","246.21","240.56","56.30M","1.52%"
"2024- 10- 07","240.83","249.00","249.83","240.70","68.11M","-3.70%"
"2024- 10- 04","250.08","246.69","250.96","244.58","86.73M","3.91%"
"2024- 10- 03","240.66","244.48","249.79","237.81","80.73M","-3.36%"
"2024- 10- 02","249.02","247.55","251.16","241.50","93.98M","-3.49%"
"2024- 10- 01","258.02","262.67","263.98","248.53","87.40M","-1.38%"
"2024- 09- 30","261.63","259.04","264.86","255.77","80.87M","0.45%"
"2024- 09- 27","260.46","257.38","260.70","254.12","70.99M","2.45%"
"2024- 09- 26","254.22","260.60","261.75","251.53","67.14M","-1.09%"
"2024- 09- 25","257.02","252.54","257.05","252.28","65.03M","1.08%"
"2024- 09- 24","254.27","254.08","257.19","249.05","88.49M","1.71%"
"2024- 09- 23","250.00","242.61","250.00","241.92","86.93M","4.93%"
"2024- 09- 20","238.25","241.52","243.99","235.92","99.88M","-2.32%"
"2024- 09- 19","243.92","234.00","244.24","232.13","102.70M","7.36%"
"2024- 09- 18","227.20","230.09","235.68","226.88","78.01M","-0.29%"
"2024- 09- 17","227.87","229.45","234.57","226.55","66.76M","0.48%"
"2024- 09- 16","226.78","229.30","229.96","223.53","54.32M","-1.52%"
"2024- 09- 13","230.29","228.00","232.67","226.32","59.52M","0.21%"
"2024- 09- 12","229.81","224.66","231.45","223.83","72.02M","0.74%"
"2024- 09- 11","228.13","224.55","228.47","216.80","83.55M","0.87%"
"2024- 09- 10","226.17","220.07","226.40","218.64","78.89M","4.58%"
"2024- 09- 09","216.27","216.20","219.87","213.67","67.44M","2.63%"
"2024- 09- 06","210.73","232.60","233.60","210.51","112.18M","-8.45%"
"2024- 09- 05","230.17","223.49","235.00","222.25","119.36M","4.90%"
"2024- 09- 04","219.41","210.59","222.22","210.57","80.65M","4.18%"
"2024- 09- 03","210.60","215.26","219.90","209.64","76.71M","-1.64%"
"2024- 08- 30","214.11","208.63","214.57","207.03","63.37M","3.80%"
"2024- 08- 29","206.28","209.80","214.89","205.97","62.31M","0.26%"
"2024- 08- 28","205.75","209.72","211.84","202.59","64.12M","-1.65%"
"2024- 08- 27","209.21","213.25","215.66","206.94","62.82M","-1.88%"
"2024- 08- 26","213.21","218.75","219.09","211.01","59.30M","-3.23%"
"2024- 08- 23","220.32","214.46","221.48","214.21","81.53M","4.59%"
"2024- 08- 22","210.66","223.82","224.80","210.32","79.51M","-5.65%"
"2024- 08- 21","223.27","222.67","224.66","218.86","70.15M","0.98%"
"2024- 08- 20","221.10","224.88","228.22","219.56","74.00M","-0.73%"
"2024- 08- 19","222.72","217.07","222.98","214.09","76.44M","3.05%"
"2024- 08- 16","216.12","211.15","219.80","210.80","88.77M","0.92%"
"2024- 08- 15","214.14","205.02","215.88","204.82","89.85M","6.34%"
"2024- 08- 14","201.38","207.39","208.44","198.75","70.25M","-3.10%"
"2024- 08- 13","207.83","198.47","208.49","197.06","76.25M","5.24%"
"2024- 08- 12","197.49","199.02","199.26","194.67","64.05M","-1.25%"
"2024- 08- 09","200.00","197.05","200.88","195.11","58.65M","0.58%"
"2024- 08- 08","198.84","195.70","200.70","192.04","65.03M","3.69%"
"2024- 08- 07","191.76","200.77","203.49","191.48","71.16M","-4.43%"
"2024- 08- 06","200.64","200.75","202.90","192.67","73.78M","0.88%"
"2024- 08- 05","198.88","185.22","203.88","182.00","100.31M","-4.23%"
"2024- 08- 02","207.67","214.88","216.13","205.78","82.88M","-4.24%"
"2024- 08- 01","216.86","227.69","231.87","214.33","83.86M","-6.55%"
"2024- 07- 31","232.07","227.90","234.68","226.79","67.50M","4.24%"
"2024- 07- 30","222.62","232.25","232.41","220.00","100.56M","-4.08%"
"2024- 07- 29","232.10","224.90","234.27","224.70","129.20M","5.60%"
"2024- 07- 26","219.80","221.19","222.28","215.33","94.60M","-0.20%"
"2024- 07- 25","220.25","216.80","226.00","216.23","100.64M","1.97%"
"2024- 07- 24","215.99","225.42","225.99","214.71","167.94M","-12.33%"
"2024- 07- 23","246.38","253.60","255.76","245.63","111.93M","-2.04%"
"2024- 07- 22","251.51","244.21","253.21","243.75","101.23M","5.15%"
"2024- 07- 19","239.20","247.79","249.44","236.83","87.40M","-4.02%"
"2024- 07- 18","249.23","251.09","257.14","247.20","110.87M","0.29%"
"2024- 07- 17","248.50","252.73","258.47","246.18","115.59M","-3.14%"
"2024- 07- 16","256.56","255.31","258.62","245.80","126.33M","1.55%"
"2024- 07- 15","252.64","255.97","265.60","251.73","146.91M","1.78%"
"2024- 07- 12","248.23","235.80","251.84","233.09","155.96M","2.99%"
"2024- 07- 11","241.03","263.30","271.00","239.65","221.71M","-8.44%"
"2024- 07- 10","263.26","262.80","267.59","257.86","128.52M","0.35%"
"2024- 07- 09","262.33","251.00","265.61","250.30","160.74M","3.71%"
"2024- 07- 08","252.94","247.71","259.44","244.57","157.22M","0.56%"
"2024- 07- 05","251.52","249.81","252.37","242.46","154.50M","2.08%"
"2024- 07- 03","246.39","234.56","248.35","234.25","166.56M","6.54%"
"2024- 07- 02","231.26","218.89","231.30","218.06","205.05M","10.20%"
"2024- 07- 01","209.86","201.02","213.23","200.85","135.69M","6.05%"
"2024- 06- 28","197.88","199.55","203.20","195.26","95.44M","0.23%"
"2024- 06- 27","197.42","195.17","198.72","194.05","72.75M","0.53%"
"2024- 06- 26","196.37","186.54","197.76","186.36","95.74M","4.81%"
"2024- 06- 25","187.35","184.40","187.97","182.01","63.68M","2.61%"
"2024- 06- 24","182.58","184.97","188.80","182.55","61.99M","-0.23%"
"2024- 06- 21","183.01","182.30","183.95","180.69","63.03M","0.79%"
"2024- 06- 20","181.57","184.68","185.21","179.66","55.89M","-1.78%"
"2024- 06- 18","184.86","186.56","187.20","182.37","68.98M","-1.38%"
"2024- 06- 17","187.44","177.92","188.81","177.00","109.79M","5.30%"
"2024- 06- 14","178.01","185.80","186.00","176.92","82.04M","-2.44%"
"2024- 06- 13","182.47","188.39","191.08","181.23","118.98M","2.92%"
"2024- 06- 12","177.29","171.12","180.55","169.80","90.39M","3.88%"
"2024- 06- 11","170.66","173.92","174.75","167.41","64.76M","-1.80%"
"2024- 06- 10","173.79","176.06","178.57","173.17","50.87M","-2.08%"
"2024- 06- 07","177.48","176.13","179.35","175.58","56.25M","-0.26%"
"2024- 06- 06","177.94","174.60","179.73","172.73","69.89M","1.68%"
"2024- 06- 05","175.00","175.35","176.15","172.13","57.95M","0.13%"
"2024- 06- 04","174.77","174.77","177.76","174.00","60.06M","-0.86%"
"2024- 06- 03","176.29","178.13","182.64","174.49","68.57M","-1.01%"
"2024- 05- 31","178.08","178.50","180.32","173.82","67.32M","-0.40%"
"2024- 05- 30","178.79","178.57","182.67","175.38","77.79M","1.48%"
"2024- 05- 29","176.19","174.19","178.15","173.93","54.78M","-0.32%"
"2024- 05- 28","176.75","176.40","178.25","173.16","59.74M","-1.39%"
"2024- 05- 24","179.24","174.84","180.08","173.73","65.58M","3.17%"
"2024- 05- 23","173.74","181.80","181.90","173.26","71.98M","-3.54%"
"2024- 05- 22","180.11","182.85","183.80","178.12","88.31M","-3.48%"
"2024- 05- 21","186.60","175.51","186.88","174.71","115.27M","6.66%"
"2024- 05- 20","174.95","177.56","177.75","173.52","61.73M","-1.41%"
"2024- 05- 17","177.46","173.55","179.63","172.75","77.45M","1.50%"
"2024- 05- 16","174.84","174.10","175.79","171.43","59.81M","0.49%"
"2024- 05- 15","173.99","179.90","180.00","173.11","79.66M","-2.01%"
"2024- 05- 14","177.55","174.50","179.49","174.07","86.41M","3.29%"
"2024- 05- 13","171.89","170.00","175.40","169.00","67.02M","2.03%"
"2024- 05- 10","168.47","173.05","173.06","167.75","72.63M","-2.04%"
"2024- 05- 09","171.97","175.01","175.62","171.37","65.95M","-1.57%"
"2024- 05- 08","174.72","171.59","176.06","170.15","79.97M","-1.74%"
"2024- 05- 07","177.81","182.40","183.26","177.40","75.05M","-3.76%"
"2024- 05- 06","184.76","183.80","187.56","182.20","84.39M","1.97%"
"2024- 05- 03","181.19","182.10","184.78","178.42","75.49M","0.66%"
"2024- 05- 02","180.01","182.86","184.60","176.02","89.15M","0.01%"
"2024- 05- 01","179.99","182.00","185.86","179.01","92.83M","-1.80%"
"2024- 04- 30","183.28","186.98","190.95","182.84","127.03M","-5.55%"
"2024- 04- 29","194.05","188.42","198.87","184.54","243.87M","15.31%"
"2024- 04- 26","168.29","168.85","172.12","166.37","109.82M","-1.11%"
"2024- 04- 25","170.18","158.96","170.88","158.36","126.43M","4.97%"
"2024- 04- 24","162.13","162.84","167.97","157.51","181.18M","12.06%"
"2024- 04- 23","144.68","143.33","147.26","141.11","124.55M","1.85%"
"2024- 04- 22","142.05","140.56","144.44","138.80","107.10M","-3.40%"
"2024- 04- 19","147.05","148.97","150.94","146.22","87.08M","-1.92%"
"2024- 04- 18","149.93","151.25","152.20","148.70","96.10M","-3.55%"
"2024- 04- 17","155.45","157.64","158.33","153.78","82.44M","-1.06%"
"2024- 04- 16","157.11","156.74","158.19","153.75","97.00M","-2.71%"
"2024- 04- 15","161.48","170.24","170.69","161.38","100.25M","-5.59%"
"2024- 04- 12","171.05","172.34","173.81","170.36","64.72M","-2.03%"
"2024- 04- 11","174.60","172.55","175.88","168.51","94.52M","1.65%"
"2024- 04- 10","171.76","173.04","174.93","170.01","84.53M","-2.89%"
"2024- 04- 09","176.88","172.91","179.22","171.92","103.23M","2.25%"
"2024- 04- 08","172.98","169.34","174.50","167.79","104.42M","4.90%"
"2024- 04- 05","164.90","169.08","170.86","160.51","143.16M","-3.63%"
"2024- 04- 04","171.11","170.07","177.19","168.01","123.16M","1.62%"
"2024- 04- 03","168.38","164.02","168.82","163.28","82.95M","1.05%"
"2024- 04- 02","166.63","164.75","167.69","163.43","116.65M","-4.90%"
"2024- 04- 01","175.22","176.17","176.75","170.21","81.56M","-0.32%"
"2024- 03- 28","175.79","177.45","179.57","175.30","77.66M","-2.25%"
"2024- 03- 27","179.83","181.41","181.91","176.00","81.80M","1.22%"
"2024- 03- 26","177.67","178.58","184.25","177.38","113.19M","2.92%"
"2024- 03- 25","172.63","168.76","175.24","168.73","74.23M","1.05%"
"2024- 03- 22","170.83","166.69","171.20","166.30","75.58M","-1.15%"
"2024- 03- 21","172.82","176.39","178.18","171.80","73.18M","-1.62%"
"2024- 03- 20","175.66","173.00","176.25","170.82","83.85M","2.53%"
"2024- 03- 19","171.32","172.36","172.82","167.42","77.27M","-1.43%"
"2024- 03- 18","173.80","170.02","174.72","165.90","108.21M","6.25%"
"2024- 03- 15","163.57","163.16","165.18","160.76","97.15M","0.66%"
"2024- 03- 14","162.50","167.77","171.17","160.51","126.33M","-4.12%"
"2024- 03- 13","169.48","173.05","176.05","169.15","106.53M","-4.54%"
"2024- 03- 12","177.54","177.77","179.43","172.41","87.39M","-0.13%"
"2024- 03- 11","177.77","175.45","182.87","174.80","85.39M","1.39%"
"2024- 03- 08","175.34","181.50","182.73","174.70","85.55M","-1.85%"
"2024- 03- 07","178.65","174.35","180.04","173.70","102.13M","1.20%"
"2024- 03- 06","176.54","179.99","181.58","173.70","107.92M","-2.32%"
"2024- 03- 05","180.74","183.05","184.59","177.57","119.66M","-3.93%"
"2024- 03- 04","188.14","198.73","199.75","186.72","134.34M","-7.16%"
"2024- 03- 01","202.64","200.52","204.52","198.50","82.24M","0.38%"
"2024- 02- 29","201.88","204.18","205.28","198.45","85.91M","-0.08%"
"2024- 02- 28","202.04","200.42","205.30","198.44","99.81M","1.16%"
"2024- 02- 27","199.73","204.04","205.60","198.26","108.65M","0.17%"
"2024- 02- 26","199.40","192.29","201.78","192.00","111.75M","3.87%"
"2024- 02- 23","191.97","195.31","197.57","191.50","78.84M","-2.76%"
"2024- 02- 22","197.41","194.00","198.32","191.36","92.74M","1.36%"
"2024- 02- 21","194.77","193.36","199.44","191.95","103.84M","0.52%"
"2024- 02- 20","193.76","196.13","198.60","189.13","104.55M","-3.10%"
"2024- 02- 16","199.95","202.06","203.17","197.40","111.35M","-0.25%"
"2024- 02- 15","200.45","189.16","200.88","188.86","120.83M","6.22%"
"2024- 02- 14","188.71","185.30","188.89","183.35","81.20M","2.55%"
"2024- 02- 13","184.02","183.99","187.26","182.11","86.76M","-2.18%"
"2024- 02- 12","188.13","192.11","194.73","187.28","95.50M","-2.81%"
"2024- 02- 09","193.57","190.18","194.12","189.48","84.48M","2.12%"
"2024- 02- 08","189.56","189.00","191.62","185.58","83.03M","1.06%"
"2024- 02- 07","187.58","188.18","189.79","182.68","111.54M","1.34%"
"2024- 02- 06","185.10","177.21","186.49","177.11","122.68M","2.23%"
"2024- 02- 05","181.06","184.26","184.68","175.01","134.29M","-3.65%"
"2024- 02- 02","187.91","185.04","188.69","182.00","110.61M","-0.50%"
"2024- 02- 01","188.86","188.50","189.88","184.28","91.84M","0.84%"
"2024- 01- 31","187.29","186.99","193.97","185.85","103.22M","-2.24%"
"2024- 01- 30","191.59","195.33","196.36","190.61","109.98M","0.35%"
"2024- 01- 29","190.93","185.63","191.48","183.67","125.01M","4.19%"
"2024- 01- 26","183.25","185.50","186.78","182.10","107.34M","0.34%"
"2024- 01- 25","182.63","189.70","193.00","180.06","198.08M","-12.13%"
"2024- 01- 24","207.83","211.88","212.73","206.77","123.37M","-0.63%"
"2024- 01- 23","209.14","211.30","215.65","207.75","106.61M","0.16%"
"2024- 01- 22","208.80","212.26","217.80","206.27","117.95M","-1.60%"
"2024- 01- 19","212.19","209.99","213.19","207.56","102.26M","0.15%"
"2024- 01- 18","211.88","216.88","217.45","208.74","108.60M","-1.70%"
"2024- 01- 17","215.55","214.86","215.67","212.01","103.16M","-1.98%"
"2024- 01- 16","219.91","215.10","223.49","212.18","115.36M","0.47%"
"2024- 01- 12","218.89","220.08","225.34","217.15","123.04M","-3.67%"
"2024- 01- 11","227.22","230.57","230.93","225.37","105.87M","-2.87%"
"2024- 01- 10","233.94","235.10","235.50","231.29","91.63M","-0.43%"
"2024- 01- 09","234.96","238.11","238.96","232.04","96.71M","-2.28%"
"2024- 01- 08","240.45","236.14","241.25","235.30","85.17M","1.25%"
"2024- 01- 05","237.49","236.86","240.12","234.90","92.49M","-0.18%"
"2024- 01- 04","237.93","239.25","242.70","237.73","102.63M","-0.22%"
"2024- 01- 03","238.45","244.98","245.68","236.32","121.08M","-4.01%"
"2024- 01- 02","248.42","250.08","251.25","244.41","104.65M","-0.02%"
"2023- 12- 29","248.48","255.10","255.19","247.43","100.89M","-1.86%"
"2023- 12- 28","253.18","263.66","265.13","252.71","113.62M","-3.16%"
"2023- 12- 27","261.44","258.35","263.34","257.52","106.49M","1.88%"
"2023- 12- 26","256.61","254.49","257.97","252.91","86.89M","1.61%"
"2023- 12- 22","252.54","256.76","258.22","251.37","93.37M","-0.77%"
"2023- 12- 21","254.50","251.90","254.80","248.55","109.59M","2.98%"
"2023- 12- 20","247.14","256.41","259.84","247.00","125.10M","-3.92%"
"2023- 12- 19","257.22","253.48","258.34","253.01","106.74M","2.04%"
"2023- 12- 18","252.08","253.78","258.74","251.36","116.42M","-0.56%"
"2023- 12- 15","253.50","251.21","254.13","248.30","135.93M","0.98%"
"2023- 12- 14","251.05","241.22","253.88","240.79","160.83M","4.91%"
"2023- 12- 13","239.29","234.19","240.30","228.20","146.29M","0.96%"
"2023- 12- 12","237.01","238.55","238.99","233.87","95.33M","-1.14%"
"2023- 12- 11","239.74","242.74","243.44","237.45","97.91M","-1.68%"
"2023- 12- 08","243.84","240.27","245.27","239.27","103.13M","0.49%"
"2023- 12- 07","242.64","241.55","244.08","236.98","107.14M","1.37%"
"2023- 12- 06","239.37","242.92","246.57","239.17","126.44M","0.27%"
"2023- 12- 05","238.72","233.87","246.66","233.70","137.97M","1.33%"
"2023- 12- 04","235.58","235.75","239.37","233.29","104.10M","-1.36%"
"2023- 12- 01","238.83","233.14","240.19","231.90","121.33M","-0.52%"
"2023- 11- 30","240.08","245.14","245.22","236.91","132.35M","-1.66%"
"2023- 11- 29","244.14","249.21","252.75","242.76","135.40M","-1.05%"
"2023- 11- 28","246.72","236.68","247.00","234.01","148.55M","4.51%"
"2023- 11- 27","236.08","236.89","238.33","232.10","112.03M","0.27%"
"2023- 11- 24","235.45","233.75","238.75","232.33","65.13M","0.53%"
"2023- 11- 22","234.21","242.04","244.01","231.40","118.12M","-2.90%"
"2023- 11- 21","241.20","235.04","243.62","233.34","122.29M","2.38%"
"2023- 11- 20","235.60","234.04","237.10","231.02","116.56M","0.55%"
"2023- 11- 17","234.30","232.00","237.39","226.54","142.77M","0.30%"
"2023- 11- 16","233.59","239.49","240.88","230.96","136.82M","-3.81%"
"2023- 11- 15","242.84","239.29","246.70","236.45","150.35M","2.29%"
"2023- 11- 14","237.41","235.03","238.13","230.72","149.77M","6.12%"
"2023- 11- 13","223.71","215.60","225.40","211.61","140.45M","4.22%"
"2023- 11- 10","214.65","210.03","215.38","205.69","131.31M","2.22%"
"2023- 11- 09","209.98","219.75","220.80","206.68","142.11M","-5.46%"
"2023- 11- 08","222.11","223.15","224.15","217.64","106.59M","-0.03%"
"2023- 11- 07","222.18","219.98","223.12","215.72","116.90M","1.33%"
"2023- 11- 06","219.27","223.98","226.32","215.00","117.34M","-0.31%"
"2023- 11- 03","219.96","221.15","226.37","218.40","119.54M","0.66%"
"2023- 11- 02","218.51","212.97","219.20","211.45","125.99M","6.25%"
"2023- 11- 01","205.66","204.04","205.99","197.85","121.66M","2.40%"
"2023- 10- 31","200.84","196.12","202.80","194.07","118.07M","1.76%"
"2023- 10- 30","197.36","209.28","210.88","194.67","136.45M","-4.79%"
"2023- 10- 27","207.30","210.60","212.41","205.77","94.88M","0.75%"
"2023- 10- 26","205.76","211.32","214.80","204.88","115.11M","-3.14%"
"2023- 10- 25","212.42","215.88","220.10","212.20","107.07M","-1.89%"
"2023- 10- 24","216.52","216.50","222.05","214.11","118.23M","2.09%"
"2023- 10- 23","212.08","210.00","216.98","202.51","150.68M","0.04%"
"2023- 10- 20","211.99","217.01","218.86","210.42","138.01M","-3.69%"
"2023- 10- 19","220.11","225.95","230.61","216.78","170.77M","-9.30%"
"2023- 10- 18","242.68","252.70","254.63","242.08","125.15M","-4.78%"
"2023- 10- 17","254.85","250.10","257.18","247.08","93.56M","0.37%"
"2023- 10- 16","253.92","250.05","255.40","248.48","88.92M","1.12%"
"2023- 10- 13","251.12","258.90","259.60","250.22","102.30M","-2.99%"
"2023- 10- 12","258.87","262.92","265.41","256.63","111.51M","-1.57%"
"2023- 10- 11","262.99","266.20","268.60","260.90","103.71M","-0.24%"
"2023- 10- 10","263.62","257.75","268.94","257.65","122.66M","1.52%"
"2023- 10- 09","259.67","255.31","261.36","252.05","101.38M","-0.33%"
"2023- 10- 06","260.53","253.98","261.65","250.65","118.12M","0.18%"
"2023- 10- 05","260.05","260.00","263.60","256.25","119.16M","-0.43%"
"2023- 10- 04","261.16","248.14","261.86","247.60","129.72M","5.93%"
"2023- 10- 03","246.53","248.61","250.02","244.45","101.99M","-2.02%"
"2023- 10- 02","251.60","244.81","254.28","242.62","123.81M","0.55%"
"2023- 09- 29","250.22","250.00","254.77","246.35","128.52M","1.56%"
"2023- 09- 28","246.38","240.02","247.55","238.65","117.06M","2.44%"
"2023- 09- 27","240.50","244.26","245.33","234.58","136.60M","-1.48%"
"2023- 09- 26","244.12","242.98","249.55","241.66","101.99M","-1.16%"
"2023- 09- 25","246.99","243.38","247.10","238.31","104.64M","0.86%"
"2023- 09- 22","244.88","257.40","257.79","244.48","127.52M","-4.23%"
"2023- 09- 21","255.70","257.85","260.86","254.21","119.95M","-2.62%"
"2023- 09- 20","262.59","267.04","273.93","262.46","122.52M","-1.47%"
"2023- 09- 19","266.50","264.35","267.85","261.20","103.70M","0.46%"
"2023- 09- 18","265.28","271.16","271.44","263.76","101.54M","-3.32%"
"2023- 09- 15","274.39","277.55","278.98","271.00","133.69M","-0.60%"
"2023- 09- 14","276.04","271.32","276.71","270.42","107.71M","1.75%"
"2023- 09- 13","271.30","270.07","274.98","268.10","111.67M","1.43%"
"2023- 09- 12","267.48","270.76","278.39","266.60","136.00M","-2.23%"
"2023- 09- 11","273.58","264.27","274.85","260.61","174.67M","10.09%"
"2023- 09- 08","248.50","251.22","256.52","246.67","118.56M","-1.19%"
"2023- 09- 07","251.49","245.07","252.81","243.26","115.31M","-0.17%"
"2023- 09- 06","251.92","255.13","255.39","245.06","116.96M","-1.78%"
"2023- 09- 05","256.49","245.00","258.00","244.86","129.47M","4.69%"
"2023- 09- 01","245.01","257.26","259.08","242.01","132.54M","-5.06%"
"2023- 08- 31","258.08","255.98","261.18","255.05","108.86M","0.46%"
"2023- 08- 30","256.90","254.20","260.51","250.59","121.99M","-0.11%"
"2023- 08- 29","257.18","238.58","257.48","237.77","134.05M","7.69%"
"2023- 08- 28","238.82","242.58","244.38","235.35","107.67M","0.10%"
"2023- 08- 25","238.59","231.31","239.00","230.35","106.61M","3.72%"
"2023- 08- 24","230.04","238.66","238.92","228.18","99.78M","-2.88%"
"2023- 08- 23","236.86","229.34","238.98","229.29","101.08M","1.57%"
